time,open,high,low,close,volume
2026-06-29 14:03:00+00:00,59424.01,59457.32,59424.01,59455.03,0.07819632
2026-06-29 14:04:00+00:00,59468.04,59492.72,59468.03,59486.1,0.20829091
2026-06-29 14:05:00+00:00,59426.89,59426.99,59286.7,59325.86,1.10646204
2026-06-29 14:06:00+00:00,59316.64,59409.04,59313.43,59318.87,0.91954203
2026-06-29 14:07:00+00:00,59283.59,59345.88,59236.38,59236.38,0.82170009
2026-06-29 14:08:00+00:00,59235.39,59269.29,59176.6,59269.28,0.1219847
2026-06-29 14:09:00+00:00,59310.49,59327.16,59258.53,59327.16,0.25994601
2026-06-29 14:10:00+00:00,59300.2,59300.23,59198.28,59222.78,0.31603228
2026-06-29 14:11:00+00:00,59173.03,59185.9,59126.73,59127.61,0.66241853
2026-06-29 14:12:00+00:00,59139.48,59140.59,59088.03,59088.03,0.72143156
2026-06-29 14:13:00+00:00,59088.05,59097.5,59086.97,59095.94,0.11744
2026-06-29 14:14:00+00:00,59075.74,59098.01,59070.48,59070.48,0.15313597
2026-06-29 14:15:00+00:00,59068.68,59176.16,58999.64,59163.18,1.65270893
2026-06-29 14:16:00+00:00,59179.25,59218.65,59028.06,59028.13,0.64942643
2026-06-29 14:17:00+00:00,59048.36,59148.76,59030.63,59085.62,0.21198698
2026-06-29 14:18:00+00:00,59148.77,59148.77,59038.19,59119.34,1.24924052
2026-06-29 14:19:00+00:00,59148.03,59193.27,59132.64,59132.64,0.48714879
2026-06-29 14:20:00+00:00,59114.69,59120.73,59040.69,59107.48,0.21064294
2026-06-29 14:21:00+00:00,59168.06,59183.18,59160.17,59183.18,0.036567
2026-06-29 14:22:00+00:00,59179.63,59246.49,59177.54,59208.05,0.67777478
2026-06-29 14:23:00+00:00,59170.65,59198.48,59139.3,59185.14,2.6901359
2026-06-29 14:24:00+00:00,59182.37,59265.24,59137.44,59265.07,6.07543714
2026-06-29 14:25:00+00:00,59276.42,59402.3,59276.41,59361.3,1.26697677
2026-06-29 14:26:00+00:00,59356.86,59358.12,59328.8,59358.11,0.37247699
2026-06-29 14:27:00+00:00,59417.19,59452.72,59410.79,59422.86,0.13640883
2026-06-29 14:28:00+00:00,59482.3,59525.04,59451.13,59525.01,1.37436918
2026-06-29 14:29:00+00:00,59514.54,59546.48,59500.0,59516.79,1.25699765
2026-06-29 14:30:00+00:00,59512.22,59524.36,59481.25,59517.76,1.60554455
2026-06-29 14:31:00+00:00,59458.69,59487.44,59458.69,59463.9,0.10182177
2026-06-29 14:32:00+00:00,59441.36,59536.91,59389.24,59536.91,0.11812269
2026-06-29 14:33:00+00:00,59560.64,59654.94,59560.64,59653.73,0.19015314
2026-06-29 14:34:00+00:00,59658.82,59680.26,59583.89,59588.1,1.19007239
2026-06-29 14:35:00+00:00,59585.7,59585.7,59537.83,59567.92,0.79898177
2026-06-29 14:36:00+00:00,59577.31,59579.11,59512.29,59575.24,2.89986242
2026-06-29 14:37:00+00:00,59526.67,59544.28,59526.67,59544.28,0.0439915
2026-06-29 14:38:00+00:00,59548.15,59598.78,59548.15,59557.68,0.17870681
2026-06-29 14:39:00+00:00,59559.18,59559.24,59559.18,59559.24,0.0246
2026-06-29 14:40:00+00:00,59531.33,59531.33,59450.7,59516.34,0.07510516
2026-06-29 14:41:00+00:00,59504.03,59505.46,59501.76,59501.76,0.34719727
2026-06-29 14:42:00+00:00,59503.2,59503.2,59414.77,59414.77,0.09712
2026-06-29 14:43:00+00:00,59414.16,59414.16,59337.2,59337.2,0.20119539
2026-06-29 14:44:00+00:00,59317.25,59321.36,59317.25,59321.36,0.0246
2026-06-29 14:45:00+00:00,59301.89,59340.28,59286.66,59340.28,0.10894367
2026-06-29 14:47:00+00:00,59362.73,59366.38,59311.99,59311.99,0.10143225
2026-06-29 14:48:00+00:00,59309.75,59324.97,59282.64,59282.64,0.06832848
2026-06-29 14:50:00+00:00,59374.01,59433.75,59345.35,59416.1,0.54600012
2026-06-29 14:53:00+00:00,59423.41,59481.17,59423.39,59481.17,0.0410356
2026-06-29 14:54:00+00:00,59591.85,59592.72,59564.78,59564.78,0.12433292
